equipamento_id,equipamento_nome,componente_id,componente_nome,sensor_id,sensor_nome,frequencia_leitura,falha_id,falha_nome,data_falha,descricao_falha,tecnico_id,tecnico_nome,procedimento_id,procedimento_nome
eqp1,Compressor de Ar,cmp1,Engrenagem,sns1,Sensor de Vibração,0.62,flh1,Falha por Vibração Excedente,2025-02-17,Excesso de vibração detectado,tec1,Carlos Silva,prc1,Vedação da Válvula
eqp2,Compressor de Ar,cmp2,Válvula de Pressão,sns2,Sensor de Vibração,1.18,flh2,Falha por Vibração Excedente,2023-02-09,Perda de pressão no componente,tec2,Ana Lima,prc2,Resfriamento do Equipamento
eqp3,Bomba Hidráulica,cmp3,Válvula de Pressão,sns3,Sensor de Vibração,1.95,flh3,Superaquecimento,2024-08-05,Temperatura acima do limite,tec3,Ana Lima,prc3,Resfriamento do Equipamento
eqp4,Bomba Hidráulica,cmp4,Engrenagem,sns4,Sensor de Pressão,1.17,flh4,Falha por Vibração Excedente,2024-07-26,Temperatura acima do limite,tec4,Ana Lima,prc4,Vedação da Válvula
eqp5,Compressor de Ar,cmp5,Engrenagem,sns5,Sensor de Temperatura,1.15,flh5,Falha por Vibração Excedente,2023-07-07,Excesso de vibração detectado,tec5,Ana Lima,prc5,Resfriamento do Equipamento
eqp6,Bomba Hidráulica,cmp6,Engrenagem,sns6,Sensor de Vibração,1.58,flh6,Vazamento de Pressão,2024-07-14,Perda de pressão no componente,tec6,Ana Lima,prc6,Troca de Rolamento
eqp7,Bomba Hidráulica,cmp7,Rolamento Frontal,sns7,Sensor de Pressão,1.69,flh7,Falha por Vibração Excedente,2023-08-17,Temperatura acima do limite,tec7,Carlos Silva,prc7,Troca de Rolamento
eqp8,Bomba Hidráulica,cmp8,Rolamento Frontal,sns8,Sensor de Temperatura,1.77,flh8,Falha por Vibração Excedente,2025-01-01,Temperatura acima do limite,tec8,João Pereira,prc8,Resfriamento do Equipamento
eqp9,Motor Principal,cmp9,Válvula de Pressão,sns9,Sensor de Pressão,1.49,flh9,Falha por Vibração Excedente,2024-01-05,Perda de pressão no componente,tec9,João Pereira,prc9,Troca de Rolamento
eqp10,Bomba Hidráulica,cmp10,Engrenagem,sns10,Sensor de Vibração,1.54,flh10,Vazamento de Pressão,2023-05-17,Temperatura acima do limite,tec10,Carlos Silva,prc10,Resfriamento do Equipamento
eqp11,Motor Principal,cmp11,Rolamento Frontal,sns11,Sensor de Pressão,0.87,flh11,Vazamento de Pressão,2023-03-27,Perda de pressão no componente,tec11,Ana Lima,prc11,Vedação da Válvula
eqp12,Motor Principal,cmp12,Válvula de Pressão,sns12,Sensor de Pressão,1.95,flh12,Vazamento de Pressão,2023-07-02,Excesso de vibração detectado,tec12,Ana Lima,prc12,Resfriamento do Equipamento
eqp13,Compressor de Ar,cmp13,Rolamento Frontal,sns13,Sensor de Vibração,0.79,flh13,Falha por Vibração Excedente,2024-01-06,Temperatura acima do limite,tec13,Ana Lima,prc13,Resfriamento do Equipamento
eqp14,Bomba Hidráulica,cmp14,Engrenagem,sns14,Sensor de Vibração,1.31,flh14,Superaquecimento,2024-11-07,Excesso de vibração detectado,tec14,Ana Lima,prc14,Troca de Rolamento
eqp15,Compressor de Ar,cmp15,Válvula de Pressão,sns15,Sensor de Vibração,1.15,flh15,Vazamento de Pressão,2023-07-02,Perda de pressão no componente,tec15,Carlos Silva,prc15,Vedação da Válvula
eqp16,Bomba Hidráulica,cmp16,Válvula de Pressão,sns16,Sensor de Vibração,1.39,flh16,Falha por Vibração Excedente,2023-11-27,Excesso de vibração detectado,tec16,João Pereira,prc16,Troca de Rolamento
eqp17,Compressor de Ar,cmp17,Rolamento Frontal,sns17,Sensor de Pressão,0.6,flh17,Falha por Vibração Excedente,2025-01-12,Excesso de vibração detectado,tec17,Carlos Silva,prc17,Vedação da Válvula
eqp18,Compressor de Ar,cmp18,Válvula de Pressão,sns18,Sensor de Temperatura,0.78,flh18,Superaquecimento,2023-03-20,Perda de pressão no componente,tec18,Ana Lima,prc18,Vedação da Válvula
eqp19,Motor Principal,cmp19,Engrenagem,sns19,Sensor de Temperatura,1.51,flh19,Superaquecimento,2023-10-14,Perda de pressão no componente,tec19,Ana Lima,prc19,Vedação da Válvula
eqp20,Compressor de Ar,cmp20,Válvula de Pressão,sns20,Sensor de Pressão,1.9,flh20,Falha por Vibração Excedente,2023-11-08,Excesso de vibração detectado,tec20,Ana Lima,prc20,Troca de Rolamento
eqp21,Compressor de Ar,cmp21,Engrenagem,sns21,Sensor de Vibração,1.85,flh21,Falha por Vibração Excedente,2023-05-21,Temperatura acima do limite,tec21,Ana Lima,prc21,Troca de Rolamento
eqp22,Motor Principal,cmp22,Válvula de Pressão,sns22,Sensor de Pressão,1.48,flh22,Vazamento de Pressão,2023-04-13,Temperatura acima do limite,tec22,Carlos Silva,prc22,Vedação da Válvula
eqp23,Motor Principal,cmp23,Válvula de Pressão,sns23,Sensor de Temperatura,1.11,flh23,Vazamento de Pressão,2023-07-04,Perda de pressão no componente,tec23,Ana Lima,prc23,Troca de Rolamento
eqp24,Bomba Hidráulica,cmp24,Engrenagem,sns24,Sensor de Vibração,0.67,flh24,Superaquecimento,2024-01-22,Excesso de vibração detectado,tec24,Carlos Silva,prc24,Vedação da Válvula
eqp25,Bomba Hidráulica,cmp25,Engrenagem,sns25,Sensor de Pressão,1.35,flh25,Vazamento de Pressão,2023-01-28,Excesso de vibração detectado,tec25,Carlos Silva,prc25,Vedação da Válvula
eqp26,Bomba Hidráulica,cmp26,Rolamento Frontal,sns26,Sensor de Vibração,1.52,flh26,Falha por Vibração Excedente,2025-03-25,Excesso de vibração detectado,tec26,Ana Lima,prc26,Vedação da Válvula
eqp27,Bomba Hidráulica,cmp27,Engrenagem,sns27,Sensor de Temperatura,1.03,flh27,Superaquecimento,2023-09-20,Excesso de vibração detectado,tec27,Carlos Silva,prc27,Vedação da Válvula
eqp28,Motor Principal,cmp28,Válvula de Pressão,sns28,Sensor de Temperatura,1.55,flh28,Falha por Vibração Excedente,2024-09-23,Perda de pressão no componente,tec28,Carlos Silva,prc28,Resfriamento do Equipamento
eqp29,Bomba Hidráulica,cmp29,Rolamento Frontal,sns29,Sensor de Vibração,1.55,flh29,Falha por Vibração Excedente,2023-03-20,Excesso de vibração detectado,tec29,Carlos Silva,prc29,Vedação da Válvula
eqp30,Bomba Hidráulica,cmp30,Válvula de Pressão,sns30,Sensor de Temperatura,1.09,flh30,Vazamento de Pressão,2023-03-18,Temperatura acima do limite,tec30,Carlos Silva,prc30,Vedação da Válvula
eqp31,Bomba Hidráulica,cmp31,Rolamento Frontal,sns31,Sensor de Temperatura,0.77,flh31,Vazamento de Pressão,2023-09-08,Perda de pressão no componente,tec31,João Pereira,prc31,Troca de Rolamento
eqp32,Compressor de Ar,cmp32,Rolamento Frontal,sns32,Sensor de Pressão,0.98,flh32,Falha por Vibração Excedente,2024-09-12,Perda de pressão no componente,tec32,Carlos Silva,prc32,Vedação da Válvula
eqp33,Motor Principal,cmp33,Engrenagem,sns33,Sensor de Vibração,1.17,flh33,Vazamento de Pressão,2023-06-09,Excesso de vibração detectado,tec33,João Pereira,prc33,Vedação da Válvula
eqp34,Bomba Hidráulica,cmp34,Engrenagem,sns34,Sensor de Vibração,1.85,flh34,Falha por Vibração Excedente,2023-09-04,Excesso de vibração detectado,tec34,João Pereira,prc34,Vedação da Válvula
eqp35,Compressor de Ar,cmp35,Rolamento Frontal,sns35,Sensor de Vibração,1.16,flh35,Falha por Vibração Excedente,2023-05-12,Temperatura acima do limite,tec35,Carlos Silva,prc35,Resfriamento do Equipamento
eqp36,Compressor de Ar,cmp36,Válvula de Pressão,sns36,Sensor de Pressão,1.84,flh36,Vazamento de Pressão,2023-02-01,Temperatura acima do limite,tec36,Carlos Silva,prc36,Resfriamento do Equipamento
eqp37,Compressor de Ar,cmp37,Engrenagem,sns37,Sensor de Vibração,1.72,flh37,Falha por Vibração Excedente,2023-03-30,Perda de pressão no componente,tec37,Carlos Silva,prc37,Troca de Rolamento
eqp38,Compressor de Ar,cmp38,Válvula de Pressão,sns38,Sensor de Pressão,1.72,flh38,Falha por Vibração Excedente,2024-04-09,Excesso de vibração detectado,tec38,Ana Lima,prc38,Vedação da Válvula
eqp39,Motor Principal,cmp39,Válvula de Pressão,sns39,Sensor de Temperatura,0.52,flh39,Falha por Vibração Excedente,2024-03-28,Temperatura acima do limite,tec39,João Pereira,prc39,Resfriamento do Equipamento
eqp40,Motor Principal,cmp40,Engrenagem,sns40,Sensor de Temperatura,0.53,flh40,Falha por Vibração Excedente,2024-08-30,Perda de pressão no componente,tec40,João Pereira,prc40,Vedação da Válvula
eqp41,Compressor de Ar,cmp41,Rolamento Frontal,sns41,Sensor de Pressão,0.55,flh41,Vazamento de Pressão,2024-08-07,Temperatura acima do limite,tec41,Ana Lima,prc41,Troca de Rolamento
eqp42,Motor Principal,cmp42,Válvula de Pressão,sns42,Sensor de Vibração,1.85,flh42,Falha por Vibração Excedente,2023-08-24,Perda de pressão no componente,tec42,Carlos Silva,prc42,Troca de Rolamento
eqp43,Motor Principal,cmp43,Rolamento Frontal,sns43,Sensor de Temperatura,1.37,flh43,Vazamento de Pressão,2023-07-04,Temperatura acima do limite,tec43,Ana Lima,prc43,Vedação da Válvula
eqp44,Motor Principal,cmp44,Engrenagem,sns44,Sensor de Pressão,1.6,flh44,Falha por Vibração Excedente,2023-01-22,Perda de pressão no componente,tec44,João Pereira,prc44,Troca de Rolamento
eqp45,Bomba Hidráulica,cmp45,Engrenagem,sns45,Sensor de Temperatura,1.56,flh45,Vazamento de Pressão,2024-12-28,Temperatura acima do limite,tec45,Carlos Silva,prc45,Troca de Rolamento
eqp46,Bomba Hidráulica,cmp46,Válvula de Pressão,sns46,Sensor de Pressão,0.94,flh46,Falha por Vibração Excedente,2024-04-28,Excesso de vibração detectado,tec46,João Pereira,prc46,Resfriamento do Equipamento
eqp47,Bomba Hidráulica,cmp47,Rolamento Frontal,sns47,Sensor de Vibração,1.96,flh47,Vazamento de Pressão,2024-01-28,Excesso de vibração detectado,tec47,Ana Lima,prc47,Vedação da Válvula
eqp48,Compressor de Ar,cmp48,Engrenagem,sns48,Sensor de Pressão,1.9,flh48,Superaquecimento,2024-12-11,Temperatura acima do limite,tec48,Carlos Silva,prc48,Resfriamento do Equipamento
eqp49,Motor Principal,cmp49,Válvula de Pressão,sns49,Sensor de Temperatura,0.64,flh49,Vazamento de Pressão,2024-04-30,Temperatura acima do limite,tec49,João Pereira,prc49,Resfriamento do Equipamento
eqp50,Compressor de Ar,cmp50,Engrenagem,sns50,Sensor de Vibração,1.91,flh50,Falha por Vibração Excedente,2024-06-22,Temperatura acima do limite,tec50,Carlos Silva,prc50,Vedação da Válvula
eqp51,Compressor de Ar,cmp51,Válvula de Pressão,sns51,Sensor de Pressão,0.99,flh51,Falha por Vibração Excedente,2024-01-21,Excesso de vibração detectado,tec51,Carlos Silva,prc51,Vedação da Válvula
eqp52,Bomba Hidráulica,cmp52,Válvula de Pressão,sns52,Sensor de Temperatura,1.91,flh52,Vazamento de Pressão,2023-04-02,Excesso de vibração detectado,tec52,Carlos Silva,prc52,Troca de Rolamento
eqp53,Compressor de Ar,cmp53,Engrenagem,sns53,Sensor de Temperatura,0.71,flh53,Superaquecimento,2023-06-01,Temperatura acima do limite,tec53,João Pereira,prc53,Vedação da Válvula
eqp54,Compressor de Ar,cmp54,Válvula de Pressão,sns54,Sensor de Temperatura,1.14,flh54,Superaquecimento,2024-04-28,Temperatura acima do limite,tec54,Ana Lima,prc54,Vedação da Válvula
eqp55,Compressor de Ar,cmp55,Rolamento Frontal,sns55,Sensor de Temperatura,0.82,flh55,Vazamento de Pressão,2024-12-10,Excesso de vibração detectado,tec55,Ana Lima,prc55,Resfriamento do Equipamento
eqp56,Compressor de Ar,cmp56,Rolamento Frontal,sns56,Sensor de Vibração,1.64,flh56,Vazamento de Pressão,2023-12-23,Excesso de vibração detectado,tec56,Ana Lima,prc56,Resfriamento do Equipamento
eqp57,Compressor de Ar,cmp57,Engrenagem,sns57,Sensor de Temperatura,1.67,flh57,Falha por Vibração Excedente,2023-06-08,Perda de pressão no componente,tec57,João Pereira,prc57,Resfriamento do Equipamento
eqp58,Motor Principal,cmp58,Rolamento Frontal,sns58,Sensor de Pressão,0.94,flh58,Superaquecimento,2024-03-20,Perda de pressão no componente,tec58,Ana Lima,prc58,Resfriamento do Equipamento
eqp59,Motor Principal,cmp59,Rolamento Frontal,sns59,Sensor de Temperatura,1.74,flh59,Superaquecimento,2024-02-02,Excesso de vibração detectado,tec59,Ana Lima,prc59,Troca de Rolamento
eqp60,Compressor de Ar,cmp60,Rolamento Frontal,sns60,Sensor de Vibração,1.08,flh60,Falha por Vibração Excedente,2023-12-10,Perda de pressão no componente,tec60,João Pereira,prc60,Resfriamento do Equipamento
eqp61,Motor Principal,cmp61,Rolamento Frontal,sns61,Sensor de Vibração,1.39,flh61,Superaquecimento,2023-06-13,Temperatura acima do limite,tec61,Carlos Silva,prc61,Resfriamento do Equipamento
eqp62,Bomba Hidráulica,cmp62,Válvula de Pressão,sns62,Sensor de Vibração,1.95,flh62,Falha por Vibração Excedente,2024-09-22,Temperatura acima do limite,tec62,João Pereira,prc62,Resfriamento do Equipamento
eqp63,Bomba Hidráulica,cmp63,Válvula de Pressão,sns63,Sensor de Temperatura,0.53,flh63,Superaquecimento,2023-01-12,Excesso de vibração detectado,tec63,Ana Lima,prc63,Resfriamento do Equipamento
eqp64,Motor Principal,cmp64,Engrenagem,sns64,Sensor de Vibração,1.58,flh64,Falha por Vibração Excedente,2025-02-14,Perda de pressão no componente,tec64,Ana Lima,prc64,Vedação da Válvula
eqp65,Motor Principal,cmp65,Rolamento Frontal,sns65,Sensor de Temperatura,1.58,flh65,Vazamento de Pressão,2023-06-12,Excesso de vibração detectado,tec65,Carlos Silva,prc65,Vedação da Válvula
eqp66,Bomba Hidráulica,cmp66,Válvula de Pressão,sns66,Sensor de Temperatura,1.14,flh66,Vazamento de Pressão,2024-11-02,Perda de pressão no componente,tec66,Carlos Silva,prc66,Troca de Rolamento
eqp67,Compressor de Ar,cmp67,Rolamento Frontal,sns67,Sensor de Temperatura,0.67,flh67,Vazamento de Pressão,2024-03-23,Perda de pressão no componente,tec67,Ana Lima,prc67,Vedação da Válvula
eqp68,Bomba Hidráulica,cmp68,Rolamento Frontal,sns68,Sensor de Vibração,0.66,flh68,Vazamento de Pressão,2023-07-13,Excesso de vibração detectado,tec68,João Pereira,prc68,Resfriamento do Equipamento
eqp69,Compressor de Ar,cmp69,Engrenagem,sns69,Sensor de Pressão,1.27,flh69,Vazamento de Pressão,2023-05-30,Excesso de vibração detectado,tec69,João Pereira,prc69,Troca de Rolamento
eqp70,Compressor de Ar,cmp70,Rolamento Frontal,sns70,Sensor de Vibração,1.69,flh70,Vazamento de Pressão,2024-06-17,Excesso de vibração detectado,tec70,Carlos Silva,prc70,Troca de Rolamento
eqp71,Compressor de Ar,cmp71,Engrenagem,sns71,Sensor de Vibração,1.44,flh71,Vazamento de Pressão,2023-03-24,Perda de pressão no componente,tec71,Ana Lima,prc71,Troca de Rolamento
eqp72,Motor Principal,cmp72,Válvula de Pressão,sns72,Sensor de Temperatura,0.73,flh72,Falha por Vibração Excedente,2025-03-01,Temperatura acima do limite,tec72,Ana Lima,prc72,Vedação da Válvula
eqp73,Compressor de Ar,cmp73,Engrenagem,sns73,Sensor de Pressão,0.64,flh73,Vazamento de Pressão,2023-11-02,Excesso de vibração detectado,tec73,Carlos Silva,prc73,Resfriamento do Equipamento
eqp74,Motor Principal,cmp74,Engrenagem,sns74,Sensor de Temperatura,0.87,flh74,Falha por Vibração Excedente,2024-02-04,Perda de pressão no componente,tec74,Ana Lima,prc74,Resfriamento do Equipamento
eqp75,Motor Principal,cmp75,Válvula de Pressão,sns75,Sensor de Temperatura,1.62,flh75,Superaquecimento,2024-07-31,Temperatura acima do limite,tec75,Carlos Silva,prc75,Troca de Rolamento
eqp76,Bomba Hidráulica,cmp76,Válvula de Pressão,sns76,Sensor de Pressão,1.69,flh76,Falha por Vibração Excedente,2023-04-22,Temperatura acima do limite,tec76,Ana Lima,prc76,Troca de Rolamento
eqp77,Bomba Hidráulica,cmp77,Válvula de Pressão,sns77,Sensor de Vibração,1.51,flh77,Superaquecimento,2024-07-24,Perda de pressão no componente,tec77,Carlos Silva,prc77,Troca de Rolamento
eqp78,Bomba Hidráulica,cmp78,Válvula de Pressão,sns78,Sensor de Vibração,1.11,flh78,Superaquecimento,2024-12-14,Temperatura acima do limite,tec78,João Pereira,prc78,Resfriamento do Equipamento
eqp79,Bomba Hidráulica,cmp79,Rolamento Frontal,sns79,Sensor de Temperatura,1.99,flh79,Falha por Vibração Excedente,2024-11-03,Temperatura acima do limite,tec79,Carlos Silva,prc79,Troca de Rolamento
eqp80,Bomba Hidráulica,cmp80,Rolamento Frontal,sns80,Sensor de Vibração,1.87,flh80,Superaquecimento,2024-11-05,Excesso de vibração detectado,tec80,Carlos Silva,prc80,Vedação da Válvula
eqp81,Motor Principal,cmp81,Rolamento Frontal,sns81,Sensor de Vibração,1.47,flh81,Falha por Vibração Excedente,2024-07-18,Perda de pressão no componente,tec81,Carlos Silva,prc81,Troca de Rolamento
eqp82,Motor Principal,cmp82,Engrenagem,sns82,Sensor de Temperatura,1.6,flh82,Falha por Vibração Excedente,2024-04-14,Temperatura acima do limite,tec82,Ana Lima,prc82,Vedação da Válvula
eqp83,Motor Principal,cmp83,Válvula de Pressão,sns83,Sensor de Vibração,1.83,flh83,Superaquecimento,2023-01-22,Perda de pressão no componente,tec83,Carlos Silva,prc83,Troca de Rolamento
eqp84,Compressor de Ar,cmp84,Válvula de Pressão,sns84,Sensor de Temperatura,1.23,flh84,Falha por Vibração Excedente,2024-07-15,Temperatura acima do limite,tec84,Ana Lima,prc84,Resfriamento do Equipamento
eqp85,Compressor de Ar,cmp85,Rolamento Frontal,sns85,Sensor de Vibração,0.55,flh85,Superaquecimento,2024-12-24,Temperatura acima do limite,tec85,Ana Lima,prc85,Vedação da Válvula
eqp86,Bomba Hidráulica,cmp86,Rolamento Frontal,sns86,Sensor de Pressão,1.18,flh86,Superaquecimento,2024-07-16,Excesso de vibração detectado,tec86,Ana Lima,prc86,Vedação da Válvula
eqp87,Motor Principal,cmp87,Engrenagem,sns87,Sensor de Temperatura,1.82,flh87,Vazamento de Pressão,2024-02-16,Temperatura acima do limite,tec87,Carlos Silva,prc87,Vedação da Válvula
eqp88,Motor Principal,cmp88,Rolamento Frontal,sns88,Sensor de Temperatura,1.27,flh88,Superaquecimento,2024-12-20,Perda de pressão no componente,tec88,Ana Lima,prc88,Resfriamento do Equipamento
eqp89,Compressor de Ar,cmp89,Válvula de Pressão,sns89,Sensor de Pressão,1.07,flh89,Falha por Vibração Excedente,2024-10-09,Perda de pressão no componente,tec89,Ana Lima,prc89,Troca de Rolamento
eqp90,Compressor de Ar,cmp90,Engrenagem,sns90,Sensor de Pressão,1.15,flh90,Vazamento de Pressão,2024-11-12,Excesso de vibração detectado,tec90,Ana Lima,prc90,Resfriamento do Equipamento
eqp91,Motor Principal,cmp91,Engrenagem,sns91,Sensor de Temperatura,1.38,flh91,Superaquecimento,2023-02-06,Perda de pressão no componente,tec91,Carlos Silva,prc91,Vedação da Válvula
eqp92,Bomba Hidráulica,cmp92,Rolamento Frontal,sns92,Sensor de Temperatura,1.03,flh92,Falha por Vibração Excedente,2023-12-22,Perda de pressão no componente,tec92,João Pereira,prc92,Resfriamento do Equipamento
eqp93,Compressor de Ar,cmp93,Válvula de Pressão,sns93,Sensor de Temperatura,1.67,flh93,Vazamento de Pressão,2024-06-12,Temperatura acima do limite,tec93,Carlos Silva,prc93,Resfriamento do Equipamento
eqp94,Bomba Hidráulica,cmp94,Válvula de Pressão,sns94,Sensor de Pressão,1.26,flh94,Falha por Vibração Excedente,2024-09-29,Excesso de vibração detectado,tec94,Carlos Silva,prc94,Vedação da Válvula
eqp95,Compressor de Ar,cmp95,Rolamento Frontal,sns95,Sensor de Temperatura,1.02,flh95,Vazamento de Pressão,2025-01-04,Excesso de vibração detectado,tec95,Ana Lima,prc95,Resfriamento do Equipamento
eqp96,Compressor de Ar,cmp96,Válvula de Pressão,sns96,Sensor de Temperatura,0.72,flh96,Vazamento de Pressão,2024-08-03,Perda de pressão no componente,tec96,Carlos Silva,prc96,Troca de Rolamento
eqp97,Motor Principal,cmp97,Engrenagem,sns97,Sensor de Vibração,0.89,flh97,Superaquecimento,2023-11-18,Perda de pressão no componente,tec97,João Pereira,prc97,Troca de Rolamento
eqp98,Bomba Hidráulica,cmp98,Rolamento Frontal,sns98,Sensor de Temperatura,0.87,flh98,Vazamento de Pressão,2024-12-03,Excesso de vibração detectado,tec98,Carlos Silva,prc98,Vedação da Válvula
eqp99,Compressor de Ar,cmp99,Rolamento Frontal,sns99,Sensor de Vibração,1.42,flh99,Falha por Vibração Excedente,2023-05-20,Excesso de vibração detectado,tec99,Carlos Silva,prc99,Resfriamento do Equipamento
eqp100,Motor Principal,cmp100,Válvula de Pressão,sns100,Sensor de Temperatura,1.98,flh100,Superaquecimento,2023-02-08,Temperatura acima do limite,tec100,Ana Lima,prc100,Resfriamento do Equipamento
eqp101,Bomba Hidráulica,cmp101,Válvula de Pressão,sns101,Sensor de Pressão,2.0,flh101,Falha por Vibração Excedente,2023-10-13,Temperatura acima do limite,tec101,Ana Lima,prc101,Resfriamento do Equipamento
eqp102,Compressor de Ar,cmp102,Rolamento Frontal,sns102,Sensor de Temperatura,1.4,flh102,Superaquecimento,2024-05-19,Temperatura acima do limite,tec102,Ana Lima,prc102,Troca de Rolamento
eqp103,Bomba Hidráulica,cmp103,Engrenagem,sns103,Sensor de Vibração,1.49,flh103,Superaquecimento,2023-10-19,Perda de pressão no componente,tec103,João Pereira,prc103,Troca de Rolamento
eqp104,Compressor de Ar,cmp104,Válvula de Pressão,sns104,Sensor de Temperatura,1.19,flh104,Vazamento de Pressão,2023-01-19,Excesso de vibração detectado,tec104,João Pereira,prc104,Resfriamento do Equipamento
eqp105,Motor Principal,cmp105,Rolamento Frontal,sns105,Sensor de Pressão,1.39,flh105,Vazamento de Pressão,2025-03-09,Perda de pressão no componente,tec105,Ana Lima,prc105,Resfriamento do Equipamento
eqp106,Bomba Hidráulica,cmp106,Engrenagem,sns106,Sensor de Vibração,0.95,flh106,Falha por Vibração Excedente,2023-12-23,Perda de pressão no componente,tec106,João Pereira,prc106,Resfriamento do Equipamento
eqp107,Bomba Hidráulica,cmp107,Válvula de Pressão,sns107,Sensor de Vibração,1.36,flh107,Vazamento de Pressão,2024-06-03,Excesso de vibração detectado,tec107,Ana Lima,prc107,Troca de Rolamento
eqp108,Compressor de Ar,cmp108,Engrenagem,sns108,Sensor de Vibração,0.88,flh108,Falha por Vibração Excedente,2023-04-27,Excesso de vibração detectado,tec108,Carlos Silva,prc108,Vedação da Válvula
eqp109,Motor Principal,cmp109,Válvula de Pressão,sns109,Sensor de Pressão,1.44,flh109,Superaquecimento,2024-01-20,Excesso de vibração detectado,tec109,Ana Lima,prc109,Vedação da Válvula
eqp110,Bomba Hidráulica,cmp110,Rolamento Frontal,sns110,Sensor de Temperatura,1.68,flh110,Vazamento de Pressão,2024-06-16,Excesso de vibração detectado,tec110,João Pereira,prc110,Vedação da Válvula
eqp111,Bomba Hidráulica,cmp111,Engrenagem,sns111,Sensor de Vibração,0.83,flh111,Falha por Vibração Excedente,2024-05-14,Perda de pressão no componente,tec111,João Pereira,prc111,Resfriamento do Equipamento
eqp112,Bomba Hidráulica,cmp112,Válvula de Pressão,sns112,Sensor de Pressão,1.78,flh112,Vazamento de Pressão,2024-02-21,Temperatura acima do limite,tec112,João Pereira,prc112,Troca de Rolamento
eqp113,Bomba Hidráulica,cmp113,Rolamento Frontal,sns113,Sensor de Pressão,0.69,flh113,Falha por Vibração Excedente,2023-12-17,Temperatura acima do limite,tec113,Ana Lima,prc113,Troca de Rolamento
eqp114,Bomba Hidráulica,cmp114,Rolamento Frontal,sns114,Sensor de Vibração,1.02,flh114,Falha por Vibração Excedente,2024-08-22,Perda de pressão no componente,tec114,João Pereira,prc114,Vedação da Válvula
eqp115,Bomba Hidráulica,cmp115,Válvula de Pressão,sns115,Sensor de Temperatura,1.21,flh115,Vazamento de Pressão,2024-10-27,Perda de pressão no componente,tec115,João Pereira,prc115,Resfriamento do Equipamento
eqp116,Bomba Hidráulica,cmp116,Rolamento Frontal,sns116,Sensor de Temperatura,1.31,flh116,Falha por Vibração Excedente,2024-10-25,Excesso de vibração detectado,tec116,João Pereira,prc116,Resfriamento do Equipamento
eqp117,Motor Principal,cmp117,Engrenagem,sns117,Sensor de Temperatura,0.97,flh117,Vazamento de Pressão,2023-09-04,Temperatura acima do limite,tec117,João Pereira,prc117,Vedação da Válvula
eqp118,Compressor de Ar,cmp118,Válvula de Pressão,sns118,Sensor de Temperatura,0.86,flh118,Superaquecimento,2024-01-12,Excesso de vibração detectado,tec118,João Pereira,prc118,Resfriamento do Equipamento
eqp119,Motor Principal,cmp119,Engrenagem,sns119,Sensor de Vibração,0.83,flh119,Superaquecimento,2024-10-03,Perda de pressão no componente,tec119,Carlos Silva,prc119,Resfriamento do Equipamento
eqp120,Compressor de Ar,cmp120,Engrenagem,sns120,Sensor de Temperatura,1.49,flh120,Falha por Vibração Excedente,2023-07-13,Excesso de vibração detectado,tec120,João Pereira,prc120,Vedação da Válvula
eqp121,Bomba Hidráulica,cmp121,Válvula de Pressão,sns121,Sensor de Temperatura,1.76,flh121,Falha por Vibração Excedente,2023-02-06,Temperatura acima do limite,tec121,Ana Lima,prc121,Resfriamento do Equipamento
eqp122,Motor Principal,cmp122,Válvula de Pressão,sns122,Sensor de Pressão,0.65,flh122,Superaquecimento,2025-02-08,Perda de pressão no componente,tec122,Carlos Silva,prc122,Troca de Rolamento
eqp123,Compressor de Ar,cmp123,Rolamento Frontal,sns123,Sensor de Pressão,1.93,flh123,Superaquecimento,2023-09-10,Temperatura acima do limite,tec123,João Pereira,prc123,Troca de Rolamento
eqp124,Bomba Hidráulica,cmp124,Válvula de Pressão,sns124,Sensor de Temperatura,0.88,flh124,Vazamento de Pressão,2024-08-21,Perda de pressão no componente,tec124,Carlos Silva,prc124,Troca de Rolamento
eqp125,Motor Principal,cmp125,Válvula de Pressão,sns125,Sensor de Vibração,1.57,flh125,Vazamento de Pressão,2023-05-07,Perda de pressão no componente,tec125,João Pereira,prc125,Troca de Rolamento
